"","Banana.Id","Total.Weight","Skin.Weight","Length","Width","Outer.Length","Netto.Weight"
"1",1,172,61,165,38,226,111
"2",2,150,51,143,39,224,99
"3",3,206,70,183,40,275,136
"4",4,198,72,167,41,269,126
"5",5,230,74,218,39,277,156
"6",6,247,88,225,39,288,159
"7",7,205,80,180,42,255,125
"8",8,182,68,177,38,234,114
"9",9,168,63,155,40,240,105
"10",10,173,62,164,38,232,111
"11",11,179,63,179,37,224,116
"12",12,179,63,185,36,216,116
"13",13,146,54,155,37,200,92
"14",14,165,62,147,37,205,103
"15",15,134,50,137,36,214,84
"16",16,126,46,134,34,214,80
"17",17,127,46,142,34,194,81
"18",18,209,79,172,40,278,130
"19",19,226,88,200,41,265,138
"20",20,193,69,175,41,265,124
"21",21,183,64,168,39,256,119
"22",22,211,72,195,42,263,139
"23",23,198,78,190,39,242,120
"24",24,187,71,190,38,234,116
"25",25,166,64,152,38,241,102
"26",26,162,61,161,40,243,101
"27",27,162,59,156,39,248,103
"28",28,181,80,158,38,253,101
"29",29,188,88,186,37,239,100
"30",30,197,84,183,39,260,113
"31",31,194,79,190,41,255,115
"32",32,124,50,121,37,211,74
"33",33,118,48,125,36,204,70
"34",34,116,42,124,38,208,74
"35",35,120,44,144,36,181,76
"36",36,130,50,149,36,179,80
"37",37,118,42,130,37,204,76
"38",38,126,48,153,35,180,78
